label,text,cleaned_text,tokens,final_text
Fungal infection,"I've been quite itchy recently, and I have rashy patches all over my skin. There are also certain regions that are darker in colour than the rest of my skin, and I've got some firm lumps.",ive been quite itchy recently and i have rashy patches all over my skin there are also certain regions that are darker in colour than the rest of my skin and ive got some firm lumps,"['ive', 'quite', 'itchy', 'recently', 'rashy', 'patch', 'skin', 'also', 'certain', 'region', 'darker', 'colour', 'rest', 'skin', 'ive', 'got', 'firm', 'lump']",ive quite itchy recently rashy patch skin also certain region darker colour rest skin ive got firm lump
Pneumonia,"I have a really high fever, and I'm having trouble breathing. I'm sweating a lot and feeling really cold and tired. My heart is beating really fast, and I have some brownish sputum",i have a really high fever and im having trouble breathing im sweating a lot and feeling really cold and tired my heart is beating really fast and i have some brownish sputum,"['really', 'high', 'fever', 'im', 'trouble', 'breathing', 'im', 'sweating', 'lot', 'feeling', 'really', 'cold', 'tired', 'heart', 'beating', 'really', 'fast', 'brownish', 'sputum']",really high fever im trouble breathing im sweating lot feeling really cold tired heart beating really fast brownish sputum
Varicose Veins,Standing or walking for long periods of time has been causing a lot of pain in my legs. It feels like a cramp and becomes worse the longer I am on my feet.,standing or walking for long periods of time has been causing a lot of pain in my legs it feels like a cramp and becomes worse the longer i am on my feet,"['standing', 'walking', 'long', 'period', 'time', 'causing', 'lot', 'pain', 'leg', 'feel', 'like', 'cramp', 'becomes', 'worse', 'longer', 'foot']",standing walking long period time causing lot pain leg feel like cramp becomes worse longer foot
Malaria,"I've been experiencing severe itching, chills, vomiting, and a high fever. I'm also sweating excessively and have a headache. Nausea and muscle pain have also been causing me discomfort.",ive been experiencing severe itching chills vomiting and a high fever im also sweating excessively and have a headache nausea and muscle pain have also been causing me discomfort,"['ive', 'experiencing', 'severe', 'itching', 'chill', 'vomiting', 'high', 'fever', 'im', 'also', 'sweating', 'excessively', 'headache', 'nausea', 'muscle', 'pain', 'also', 'causing', 'discomfort']",ive experiencing severe itching chill vomiting high fever im also sweating excessively headache nausea muscle pain also causing discomfort
Typhoid,"Most of the time I feel fatigued. I don't want to eat anything. I get a high fever and chills every night. Moreover, I have been vomiting since yesterday.",most of the time i feel fatigued i dont want to eat anything i get a high fever and chills every night moreover i have been vomiting since yesterday,"['time', 'feel', 'fatigued', 'dont', 'want', 'eat', 'anything', 'get', 'high', 'fever', 'chill', 'every', 'night', 'moreover', 'vomiting', 'since', 'yesterday']",time feel fatigued dont want eat anything get high fever chill every night moreover vomiting since yesterday
Arthritis,My neck has been very tight and my muscles have felt quite weak recently. it's tough on behalf of me to maneuver around while not changing into stiff thanks to my swollen joints. Walking has additionally been very uncomfortable.,my neck has been very tight and my muscles have felt quite weak recently its tough on behalf of me to maneuver around while not changing into stiff thanks to my swollen joints walking has additionally been very uncomfortable,"['neck', 'tight', 'muscle', 'felt', 'quite', 'weak', 'recently', 'tough', 'behalf', 'maneuver', 'around', 'changing', 'stiff', 'thanks', 'swollen', 'joint', 'walking', 'additionally', 'uncomfortable']",neck tight muscle felt quite weak recently tough behalf maneuver around changing stiff thanks swollen joint walking additionally uncomfortable
Hypertension,"Along with chest pain, dizziness, and a headache that feels like a narrow zone around my head, I have been having a lot of trouble.",along with chest pain dizziness and a headache that feels like a narrow zone around my head i have been having a lot of trouble,"['along', 'chest', 'pain', 'dizziness', 'headache', 'feel', 'like', 'narrow', 'zone', 'around', 'head', 'lot', 'trouble']",along chest pain dizziness headache feel like narrow zone around head lot trouble
urinary tract infection,"I've been experiencing frequent, intense, abrupt cravings to urinate. Sometimes I get blood in my pee, and it smells awful. What should I do if I believe I have an infection?",ive been experiencing frequent intense abrupt cravings to urinate sometimes i get blood in my pee and it smells awful what should i do if i believe i have an infection,"['ive', 'experiencing', 'frequent', 'intense', 'abrupt', 'craving', 'urinate', 'sometimes', 'get', 'blood', 'pee', 'smell', 'awful', 'believe', 'infection']",ive experiencing frequent intense abrupt craving urinate sometimes get blood pee smell awful believe infection
Varicose Veins,The swelling in my legs is causing me to have difficulty fitting into my shoes. I can't sprint or stand for long periods of time. I can see some swollen blood vessels.,the swelling in my legs is causing me to have difficulty fitting into my shoes i cant sprint or stand for long periods of time i can see some swollen blood vessels,"['swelling', 'leg', 'causing', 'difficulty', 'fitting', 'shoe', 'cant', 'sprint', 'stand', 'long', 'period', 'time', 'see', 'swollen', 'blood', 'vessel']",swelling leg causing difficulty fitting shoe cant sprint stand long period time see swollen blood vessel
Typhoid,"I have been experiencing diarrhea and have had loose, watery stools several times a day. I have lost my appetite and feel nauseated all the time. I am starting to get a mild fever too.",i have been experiencing diarrhea and have had loose watery stools several times a day i have lost my appetite and feel nauseated all the time i am starting to get a mild fever too,"['experiencing', 'diarrhea', 'loose', 'watery', 'stool', 'several', 'time', 'day', 'lost', 'appetite', 'feel', 'nauseated', 'time', 'starting', 'get', 'mild', 'fever']",experiencing diarrhea loose watery stool several time day lost appetite feel nauseated time starting get mild fever
